"Log ID","Username","Action Performed","Timestamp"
"11","admin","Processed sale INV-20260525-0001. Total: $3599.97","2026-05-25 07:59:24"
"10","admin","Added 15 units of stock for: Sony WH-1000XM4 Headphones","2026-05-25 07:58:36"
"9","admin","Created user: savi","2026-05-25 07:57:27"
"8","admin","Created user: tharindu","2026-05-25 07:56:32"
"7","admin","User successfully logged in.","2026-05-25 07:54:10"
"3","sales","Completed sale INV-2026-0002 for Jessica Taylor.","2026-05-24 14:30:00"
"6","sales","Completed sale INV-2026-0002 for Jessica Taylor.","2026-05-24 14:30:00"
"2","sales","Completed sale INV-2026-0001 for David Miller.","2026-05-24 10:15:00"
"5","sales","Completed sale INV-2026-0001 for David Miller.","2026-05-24 10:15:00"
"1","admin","System database initialized and populated with sample data.","2026-05-24 09:00:00"
"4","admin","System database initialized and populated with sample data.","2026-05-24 09:00:00"
